stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,probe_keyResp.rt,probe_keyResp.duration,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,Debrief.started,Debrief.stopped,debrief_keyResp.keys,debrief_keyResp.rt,debrief_keyResp.duration
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.7955,450.7906,450.7906,452.7906,452.7913,454.7905,454.7906,458.7901,458.7903,459.9822,f,459.9825,462.9821,,,,,,places,faces,replace,fruits,left,5,replacement,1,3,0,stimuli/images/places/skyway_bridge.png,stimuli/images/faces/zoe_saldana.png,stimuli/images/fruits/mixed_grapes02.png,stimuli/images/fruits/mixed_grapes02.png,1.181,,,,,,,,,,,,0,4,4,4,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.9833,464.9821,464.9821,466.9822,466.9828,468.9819,468.982,472.9823,472.9829,474.6989,j,474.699,477.6985,,,,,,places,faces,replace,fruits,right,6,novel,1,3,0,stimuli/images/places/danyang_bridge.png,stimuli/images/faces/joe_biden.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/images/places/cn_tower.png,1.688,,,,,,,,,,,,0,5,5,5,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.6991,479.6989,479.6989,481.699,481.6995,483.6988,483.6989,487.6986,487.6992,488.9823,j,488.9826,492.9821,,,,,,places,faces,maintain,NA,left,7,novel,1,4,0,stimuli/images/places/cinderella_castle.png,stimuli/images/faces/angela_merkel.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/danica_patrick.png,1.2668,,,,,,,,,,,,0,6,6,6,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.9843,494.9821,494.9822,496.982,496.9827,498.9826,498.9826,502.9819,502.9828,503.8988,j,503.8991,508.8989,,,,,,places,faces,maintain,NA,right,8,novel,1,5,0,stimuli/images/places/distant_mountains.png,stimuli/images/faces/scarlett_johansson.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/beyonce_knowles.png,0.9066,,,,,,,,,,,,0,7,7,7,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.9003,510.8989,510.8991,512.8989,512.8997,514.8988,514.8989,518.8988,518.8995,519.7822,j,519.7825,522.7823,,,,,,faces,fruits,suppress,NA,left,9,lure,1,3,0,stimuli/images/faces/jj_watt.png,stimuli/images/fruits/whole_pears.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/jj_watt.png,0.8612,,,,,,,,,,,,0,8,8,8,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.7841,524.7823,524.7824,526.782,526.7827,528.7822,528.7823,532.7823,532.7831,533.7241,j,533.7243,536.7237,,,,,,faces,fruits,suppress,NA,right,10,novel,1,3,0,stimuli/images/faces/ryan_reynolds.png,stimuli/images/fruits/honeydew_half.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/red_grapes03.png,0.9196,,,,,,,,,,,,0,9,9,9,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.725,538.7238,538.7239,540.7237,540.7241,542.7239,542.724,546.7239,546.7245,548.074,f,548.0743,553.0732,,,,,,faces,fruits,replace,places,left,11,uncued,1,5,0,stimuli/images/faces/penelope_cruz.png,stimuli/images/fruits/leaning_pears.png,stimuli/images/places/flatiron_building.png,stimuli/images/fruits/leaning_pears.png,1.3384,,,,,,,,,,,,0,10,10,10,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.0747,555.0742,555.0742,557.074,557.0748,559.0741,559.0742,563.0739,563.0746,564.249,f,564.2492,569.249,,,,,,faces,fruits,replace,places,right,12,uncued,1,5,0,stimuli/images/faces/rand_paul.png,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/places/harvard.png,stimuli/images/faces/rand_paul.png,1.1299,,,,,,,,,,,,0,11,11,11,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.251,571.2488,571.249,573.2479,573.2485,575.2489,575.249,579.2489,579.2495,580.1823,j,580.1826,585.1818,,,,,,fruits,faces,maintain,NA,left,13,novel,1,5,0,stimuli/images/fruits/mixed_grapes03.png,stimuli/images/faces/kobe_bryant.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/halved_watermelon.png,0.9143,,,,,,,,,,,,0,12,12,12,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.1832,587.1822,587.1822,589.1822,589.183,591.1824,591.1824,595.1821,595.1827,596.3989,f,596.3992,601.3988,,,,,,fruits,faces,maintain,NA,right,14,cued,1,5,0,stimuli/images/fruits/mixed_grapes.png,stimuli/images/faces/lebron.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/lebron.png,1.2065,,,,,,,,,,,,0,13,13,13,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.4,603.3988,603.3989,605.399,605.3998,607.3986,607.3987,611.3989,611.3996,612.707,f,612.7071,616.7072,,,,,,fruits,faces,suppress,NA,left,15,uncued,1,4,0,stimuli/images/fruits/sliced_fuji.png,stimuli/images/faces/aaron_rodgers.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/aaron_rodgers.png,1.2902,,,,,,,,,,,,0,14,14,14,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.7085,618.7069,618.707,620.7071,620.7077,622.7071,622.7072,626.7071,626.7077,627.649,f,627.6493,632.6489,,,,,,fruits,faces,suppress,NA,right,16,uncued,1,5,0,stimuli/images/fruits/pear05.png,stimuli/images/faces/justin_bieber.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/pear05.png,0.9268,,,,,,,,,,,,0,15,15,15,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.6504,634.6489,634.649,636.6487,636.6495,638.6488,638.6489,642.6489,642.6496,643.5903,j,643.5905,647.5903,,,,,,places,fruits,replace,faces,left,17,lure,1,4,0,stimuli/images/places/covered_bridge.png,stimuli/images/fruits/pear03.png,stimuli/images/faces/alex_rodriguez.png,stimuli/images/places/covered_bridge.png,0.895,,,,,,,,,,,,0,16,16,16,1,,,,,,,,
