stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,probe_keyResp.rt,probe_keyResp.duration,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,Debrief.started,Debrief.stopped,debrief_keyResp.keys,debrief_keyResp.rt,debrief_keyResp.duration
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0742,407.071,407.071,409.0695,409.0709,411.0714,411.0715,415.0711,415.0727,416.0527,f,0.9521,,416.0535,419.0544,,,,,,places,faces,replace,fruits,left,5,replacement,1,3,0,stimuli/images/places/millau_bridge.png,stimuli/images/faces/mila_kunis.png,stimuli/images/fruits/mixed_grapes02.png,stimuli/images/fruits/mixed_grapes02.png,,,,,,,,,,,0,4,4,4,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0574,421.056,421.0563,423.045,423.0464,425.0377,425.0377,429.0375,429.0393,430.2356,j,1.1228,,430.2361,433.2399,,,,,,places,faces,replace,fruits,right,6,novel,1,3,0,stimuli/images/places/flatiron_building.png,stimuli/images/faces/joe_biden.png,stimuli/images/fruits/pear03.png,stimuli/images/places/eiger.png,,,,,,,,,,,0,5,5,5,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.2433,435.2415,435.2415,437.2411,437.2422,439.2408,439.2409,443.2391,443.2404,444.3195,j,1.0519,,444.3198,448.3113,,,,,,places,faces,maintain,NA,left,7,novel,1,4,0,stimuli/images/places/matterhorn.png,stimuli/images/faces/penelope_cruz.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/carrie_underwood.png,,,,,,,,,,,0,6,6,6,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.3135,450.304,450.3041,452.3024,452.3038,454.3083,454.3083,458.3024,458.3037,459.086,j,0.7523,,459.0863,464.0866,,,,,,places,faces,maintain,NA,right,8,novel,1,5,0,stimuli/images/places/alamo.png,stimuli/images/faces/kobe_bryant.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/sarah_palin.png,,,,,,,,,,,0,7,7,7,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.0903,466.087,466.087,468.0853,468.0866,470.087,470.087,474.0868,474.0882,475.2355,j,1.0655,,475.2358,478.224,,,,,,faces,fruits,suppress,NA,left,9,lure,1,3,0,stimuli/images/faces/rand_paul.png,stimuli/images/fruits/fresh_fuji.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/rand_paul.png,,,,,,,,,,,0,8,8,8,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.2273,480.219,480.2192,482.2073,482.2085,484.2071,484.2071,488.2068,488.2078,489.0246,j,0.7969,,489.0248,492.0237,,,,,,faces,fruits,suppress,NA,right,10,novel,1,3,0,stimuli/images/faces/george_clooney.png,stimuli/images/fruits/green_grapes.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/danica_patrick.png,,,,,,,,,,,0,9,9,9,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0265,494.0235,494.0235,496.0199,496.0218,498.0202,498.0202,502.0184,502.0193,502.8027,j,0.6923,,502.803,507.8033,,,,,,faces,fruits,replace,places,left,11,uncued,1,5,0,stimuli/images/faces/abby_wambach.png,stimuli/images/fruits/honeydew_half.png,stimuli/images/places/royal_albert_hall.png,stimuli/images/fruits/honeydew_half.png,,,,,,,,,,,0,10,10,10,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.8065,509.8054,509.8054,511.8033,511.8054,513.8034,513.8035,517.8029,517.8045,518.7348,j,0.9022,,518.7354,523.7364,,,,,,faces,fruits,replace,places,right,12,uncued,1,5,0,stimuli/images/faces/lebron.png,stimuli/images/fruits/cut_cantaloupe.png,stimuli/images/places/aoraki.png,stimuli/images/faces/lebron.png,,,,,,,,,,,0,11,11,11,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.7392,525.7358,525.736,527.725,527.7262,529.7185,529.7186,533.7063,533.71,534.9094,j,1.1659,,534.9104,539.9067,,,,,,fruits,faces,maintain,NA,left,13,novel,1,5,0,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/images/faces/rihanna.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/usher.png,,,,,,,,,,,0,12,12,12,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.9101,541.9015,541.9017,543.8896,543.8909,545.8772,545.8774,549.8685,549.8692,550.5239,f,0.6289,,550.5242,555.5278,,,,,,fruits,faces,maintain,NA,right,14,cued,1,5,0,stimuli/images/fruits/gala_apple_leaf.png,stimuli/images/faces/macklemore.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/macklemore.png,,,,,,,,,,,0,13,13,13,1,,,,,,,,
